Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2019-12-05,283.7499084472656,283.9590796497863,282.44037516318184,283.9409017092727,40709000
2019-12-06,286.3416442871094,286.74178092926775,285.65049413200387,285.6595969769635,48927000
2019-12-09,285.4414978027344,286.62370264846453,285.36873051071353,285.9507578365188,34838500
2019-12-10,285.123046875,286.0506211948081,284.4682803690839,285.3867795968124,52649800
2019-12-11,285.93255615234375,286.18718614809717,285.04133729091274,285.577878076515,53429100
2019-12-12,288.3969421386719,289.17900987699994,285.7051360299545,285.94156026923116,96389600
2019-12-13,288.5697326660156,289.79742361331523,287.38750044719393,288.1604930993886,81503900
2019-12-16,290.5522155761719,291.14331781947243,288.5060732129594,290.29758563663097,82749700
2019-12-17,290.61590576171875,291.2342888479106,290.5340633902449,290.93420015250655,61097700
2019-12-18,290.634033203125,291.23423824222414,290.5794716316232,291.0068891101069,48133000
2019-12-19,291.82525634765625,291.89802359041096,290.570285059568,290.82491490406625,85310500
2019-12-20,293.1047668457031,294.23795375085035,291.88018760229625,292.8580047434994,147142100
2019-12-23,293.5526123046875,293.94556876059863,293.4063901117604,293.89073892437995,52990000
2019-12-24,293.5617980957031,293.8267997088896,293.26020606823545,293.78111746910855,20270000
2019-12-26,295.1244201660156,295.13356776697475,293.9364033804754,293.9455230924072,30911200
2019-12-27,295.0513000488281,295.9103378824698,294.52126907589263,295.85550805385674,42528800
2019-12-30,293.4246520996094,295.27068284889134,292.9403032957844,295.13360826083357,49729100
2019-12-31,294.1373596191406,294.38412167588007,292.5746541122148,292.9219282002029,57077300
2020-01-02,296.8881530761719,296.90644827655234,294.74970630853255,295.672721478946,59151200
2020-01-03,294.64007568359375,295.7641429457349,293.4429112798059,293.4977411082979,77709700
2020-01-06,295.7641296386719,295.8463743777095,292.76661707449347,292.8854243272233,55653900
2020-01-07,294.9325256347656,295.67275622250656,294.4847115081981,295.19752718117184,40496400
2020-01-08,296.50439453125,297.7198263343244,294.87771109631456,295.12444534201336,68296000
2020-01-09,298.5148620605469,298.5879870903448,297.48218715461246,298.0670758368869,48473300
2020-01-10,297.6557922363281,299.25506045062673,297.18973874984056,299.09971858480566,53029300
2020-01-13,299.7029113769531,299.7120310890485,297.8477611357546,298.2772800531271,47086800
2020-01-14,299.2460021972656,300.31521183370324,298.68852837435486,299.264269511989,62832800
2020-01-15,299.92218017578125,300.6806779375008,299.0722900853066,299.1545348144793,72056600
2020-01-16,302.4170837402344,302.4170837402344,301.07369722923175,301.3021641332184,54050300
2020-01-17,303.3583679199219,303.56853962375646,302.3531079591049,303.12990101469194,95846000
2020-01-21,302.764404296875,303.56861245848097,302.32576558256864,302.3988627386086,77742400
2020-01-22,302.8009338378906,304.2722754026212,302.64559193983825,303.62340922666306,48914900
2020-01-23,303.1481018066406,303.55935330142336,301.0370702966662,302.15198966510025,51963000
2020-01-24,300.45220947265625,303.88836021472963,299.1636529443787,303.8061154859915,87578400
2020-01-27,295.6361083984375,297.11656914672125,294.86846311743926,295.2065895983411,84062500
2020-01-28,298.73419189453125,299.61149697791484,295.72755969424713,297.0617985757093,63834000
2020-01-29,298.4873962402344,300.32427882650586,298.28634427611996,300.0958119531496,53888900
2020-01-30,299.4561767578125,299.6663763797536,295.6727787860852,296.42212914324796,75491800
2020-01-31,294.0185852050781,298.99002637225726,293.10471775359696,298.8346566343361,113845600
2020-02-03,296.2028503417969,298.0671486104335,295.38037483443884,295.49918212009703,69083000
2020-02-04,300.71728515625,301.5854705749679,299.4927058581297,299.81256511181664,62573200
2020-02-05,304.19000244140625,304.4002020615823,302.1886577494263,303.65082382168174,65951100
2020-02-06,305.2135925292969,305.4054969675762,304.1352072778878,305.14961508685934,50359700
2020-02-07,303.5868835449219,305.22268676878366,303.0385573065691,304.1534770985751,64139400
2020-02-10,305.85321044921875,305.91718787642037,302.66382135820703,302.7003838721832,42070000
2020-02-11,306.3832702636719,307.99165832638704,305.8532114209266,307.2057455520756,54864500
2020-02-12,308.3572998046875,308.56747155956106,307.4525516757261,307.81809323505837,43992700
2020-02-13,308.0282287597656,308.9969262404168,306.65742728084103,306.93157642101494,54501900
2020-02-14,308.521728515625,308.6405357740244,307.24231936560784,308.4394837726626,64582200
2020-02-18,307.7266845703125,308.58572245034776,306.33758779968736,307.52563255819723,57226200
2020-02-19,309.19805908203125,309.8743123972908,308.41214608203063,308.6954428972899,48814700
2020-02-20,307.92767333984375,309.4721116863874,304.9393086876562,308.64960860364215,74163400
2020-02-21,304.7566223144531,306.88592186587607,303.9341190417113,306.57521018265294,113788200
2020-02-24,294.6492919921875,304.8297655988534,293.57090670598495,295.30727797655084,161088400
2020-02-25,285.72076416015625,296.65061531833436,284.8434588747355,296.0383395057608,218913200
2020-02-26,284.6697998046875,290.7104521537765,283.93871677139504,287.1189586441504,194773800
2020-02-27,271.8847961425781,284.7246265399028,271.8847961425781,279.1500278323521,284353500
2020-02-28,270.742431640625,272.23204033235453,260.9457695802284,263.833594623337,384975800
2020-03-02,282.4674072265625,282.53138466870956,269.0975162694885,272.52452066836804,238703600
